director_name,director_avg_score,director_movie_count
james cameron,7.074362964403813,9.0
gore verbinski,6.770090125137782,7.0
sam mendes,7.141621653973337,8.0
christopher nolan,7.708817593853336,11.0
j.j abrams,6.673513583608897,1.0
andrew stanton,6.982342389072597,4.0
sam raimi,6.849475382450199,12.0
nathan greno,6.690180250275563,1.0
joss whedon,6.992635187706672,3.0
david yates,6.664108150165338,5.0
zack snyder,6.861756791804448,7.0
bryan singer,6.972390884742567,8.0
marc forster,6.887775500127182,8.0
andrew adamson,6.774108150165338,5.0
rob marshall,6.549189227423034,6.0
barry sonnenfeld,6.461756791804448,7.0
peter jackson,7.38150582154667,9.0
marc webb,6.717635187706672,3.0
ridley scott,6.973384833412065,16.0
chris weitz,6.274108150165338,5.0
anthony russo,7.012825591059397,6.0
peter berg,6.576461954695762,6.0
colin trevorrow,6.620154500236197,2.0
shane black,6.734440214521911,2.0
tim burton,6.896899026402809,14.0
brett ratner,6.460077250118098,9.0
dan scanlon,6.720154500236197,2.0
michael bay,6.496726750091854,13.0
joseph kosinski,6.949009055739264,4.0
john lasseter,6.924108150165338,5.0
martin campbell,6.518544730896414,8.0
lee unkrich,7.005868785950483,2.0
mcg,6.258280136513943,6.0
james wan,6.795791535832384,9.0
j.j. abrams,6.90456461129482,4.0
baz luhrmann,6.737897944628153,4.0
mike newell,6.686756791804449,7.0
guillermo del toro,6.865067593853336,11.0
steven spielberg,7.340554776359299,33.0
peter sohn,6.523513583608896,1.0
mark andrews,6.590180250275563,1.0
justin lin,6.521916500150308,6.0
roland emmerich,6.295467807819491,8.0
robert zemeckis,7.074504527869632,13.0
lana wachowski,6.712825591059398,6.0
pete docter,7.324108150165339,5.0
rob letterman,6.267635187706672,3.0
jon favreau,6.767371045604852,6.0
martin scorsese,7.368855338283923,29.0
rob cohen,5.895791535832385,9.0
david ayer,6.731007409241216,6.0
tom shadyac,6.378423458471115,7.0
doug liman,6.853423458471116,7.0
kevin reynolds,6.574108150165339,5.0
stephen sommers,6.293453500183708,4.0
rupert sanders,6.4068469169422295,1.0
robert stromberg,6.55684691694223,1.0
matt reeves,6.7491892274230345,6.0
roland joffé,5.980135187706672,3.0
carl rinsch,6.440180250275563,1.0
mike mitchell,6.115675722405931,4.0
brad bird,7.076461954695762,6.0
don hall,6.706846916942229,1.0
rich moore,6.690180250275563,1.0
dean deblois,6.955135187706672,3.0
jonathan mostow,6.50456461129482,4.0
james gunn,6.949189227423034,6.0
hideaki anno,6.75684691694223,1.0
david fincher,7.322738766776892,10.0
matthew vaughn,6.885552863786671,6.0
francis lawrence,6.734108150165338,5.0
jon turteltaub,6.486756791804448,7.0
wolfgang petersen,6.6950901251377815,7.0
james bobin,6.530135187706672,3.0
chris miller,6.448725928807625,2.0
duncan jones,6.8801351877066725,3.0
alan taylor,6.577297357379054,2.0
michael apted,6.49464377287758,6.0
oliver stone,6.8232148158764945,14.0
eric darnell,6.614108150165338,5.0
shawn levy,6.208817593853336,11.0
gavin hood,6.649009055739264,4.0
chris buck,6.677297357379054,2.0
george miller,6.724362964403812,9.0
ron howard,6.8022823056474095,13.0
kenneth branagh,6.836756791804448,7.0
byron howard,6.540180250275562,1.0
hoyt yeatman,6.2401802502755634,1.0
jonathan liebesman,6.064108150165337,5.0
christopher mcquarrie,6.894108150165337,5.0
joe johnston,6.40456461129482,4.0
steve hickner,6.423513583608897,1.0
jennifer yuh nelson,6.606846916942229,1.0
m. night shyamalan,6.1957915358323845,9.0
simon wells,6.234440214521911,2.0
david bowers,6.482342389072597,4.0
joe wright,6.770090125137782,7.0
rob minkoff,6.204108150165338,5.0
lee tamahori,6.304108150165338,5.0
paul feig,6.260120166850375,4.0
alessandro carloni,6.590180250275563,1.0
peter ramsey,6.86301164309334,2.0
dean parisot,6.382342389072598,4.0
edward zwick,6.920090125137782,7.0
alex proyas,6.644108150165337,5.0
richard donner,6.665067593853336,11.0
ang lee,6.949313961665644,8.0
jon m. chu,6.128423458471115,7.0
breck eisner,6.355135187706672,3.0
hironobu sakaguchi,6.456846916942229,1.0
peter weir,7.026786833517042,4.0
bill condon,6.567371045604853,6.0
louis leterrier,6.576461954695762,6.0
,6.468216300330676,
alejandro g. iñárritu,7.185552863786671,6.0
david soren,6.473513583608896,1.0
paul greengrass,7.095467807819491,8.0
mark osborne,6.820154500236197,2.0
peyton reed,6.485552863786671,6.0
tim johnson,6.548725928807626,2.0
phillip noyce,6.660077250118099,9.0
darren aronofsky,7.021916500150308,6.0
alfonso cuarón,7.060120166850376,4.0
eric leighton,6.473513583608896,1.0
matt birch,6.6058687859504825,2.0
tom mcgrath,6.606846916942229,1.0
chris columbus,6.596317593853336,11.0
robert schwentke,6.403734681968488,6.0
carlos saldanha,6.626786833517041,4.0
guy ritchie,6.845090125137781,7.0
paul verhoeven,6.514108150165337,5.0
john mctiernan,6.576072100110225,10.0
tony gilroy,6.5676351877066725,3.0
joel schumacher,6.424504527869632,13.0
john woo,6.49464377287758,6.0
tim story,6.240098318332125,6.0
mark steven johnson,6.348725928807625,2.0
neill blomkamp,6.730135187706672,3.0
david twohy,6.560120166850376,4.0
josé padilha,6.6630116430933395,2.0
james l. brooks,6.480135187706672,3.0
james mangold,7.0094054334435585,10.0
george lucas,6.934108150165338,5.0
kirk de micco,6.305868785950482,2.0
frédéric forestier,6.2401802502755634,1.0
cedric nicolas-troyan,6.4068469169422295,1.0
roger donaldson,6.645090125137782,7.0
dave green,6.348725928807625,2.0
josh trank,6.248725928807625,2.0
brad peyton,6.0676351877066725,3.0
roger spottiswoode,6.393453500183709,4.0
steven soderbergh,6.644813404840637,16.0
michel gondry,6.671231277961486,4.0
noam murro,6.423513583608897,1.0
raja gosnell,5.621916500150307,6.0
will finn,6.191583071664768,2.0
jan de bont,5.994108150165338,5.0
len wiseman,6.667635187706672,3.0
frank coraci,6.145090125137782,7.0
michael mann,6.803734681968489,6.0
bo welch,6.023513583608896,1.0
ron clements,6.8176351877066725,3.0
christopher barnard,6.590180250275563,1.0
peter chelsom,6.124108150165338,5.0
dominic sena,6.355135187706672,3.0
tony scott,6.69653420597961,12.0
paul weitz,6.221916500150306,6.0
adam mckay,6.787775500127183,8.0
chuck russell,6.158280136513944,6.0
quentin tarantino,7.573004794214905,12.0
gary trousdale,6.577297357379054,2.0
mark dindal,6.542635187706672,3.0
simon west,6.195467807819491,8.0
stefen fangmeier,6.2401802502755634,1.0
spike jonze,6.960120166850375,4.0
chris wedge,6.617635187706672,3.0
florian henckel von donnersmarck,6.691583071664768,2.0
peter hyams,5.931007409241217,6.0
tom tykwer,6.844108150165337,5.0
pitof,5.940180250275563,1.0
brad silberling,6.3490090557392636,4.0
patrick hughes,6.4068469169422295,1.0
ericson core,6.273513583608896,1.0
lawrence guterman,5.677297357379054,2.0
ron underwood,6.105135187706672,3.0
steve martino,6.591583071664767,2.0
david mamet,6.634440214521911,2.0
yimou zhang,6.858280136513943,6.0
ash brannon,6.523513583608896,1.0
frank oz,6.436756791804449,7.0
jay roach,6.480083192434876,8.0
luc besson,6.531007409241216,6.0
michael patrick king,6.106846916942229,1.0
bibo bergeron,6.5051351877066725,3.0
sergey bodrov,6.392635187706672,3.0
wally pfister,6.440180250275563,1.0
rupert wyatt,6.56301164309334,2.0
mark waters,6.3764619546957615,6.0
john moore,6.171231277961486,4.0
john lee hancock,6.726786833517043,4.0
renny harlin,5.927054075082669,15.0
phil lord,6.826786833517042,4.0
ben stiller,6.404108150165338,5.0
tony bancroft,6.640180250275563,1.0
timur bekmambetov,6.393453500183709,4.0
walt becker,6.115675722405931,4.0
dennis dugan,5.9957915358323834,9.0
sydney pollack,6.524108150165338,5.0
thor freudenthal,6.230135187706672,3.0
brian de palma,6.620063617744316,12.0
mick jackson,6.26301164309334,2.0
alan j. pakula,6.420154500236197,2.0
kathryn bigelow,6.7551351877066725,3.0
john milius,6.417635187706672,3.0
andrey konchalovskiy,6.148725928807626,2.0
gary ross,6.660120166850375,4.0
paul w.s. anderson,6.149405433443559,10.0
genndy tartakovsky,6.591583071664767,2.0
kevin lima,6.320154500236197,2.0
daniel espinosa,6.530135187706672,3.0
nancy meyers,6.614108150165338,5.0
roger allers,6.720154500236197,2.0
neil burger,6.6934535001837085,4.0
jean-jacques annaud,6.826786833517042,4.0
sarah smith,6.5735135836088965,1.0
martin brest,6.304564611294819,4.0
andrew davis,6.482342389072597,4.0
bob fosse,6.734440214521911,2.0
tarsem singh,6.315675722405931,4.0
edgar wright,7.036756791804447,7.0
jon amiel,6.3490090557392636,4.0
peter segal,6.303423458471115,7.0
pete travis,6.577297357379054,2.0
george a. romero,6.485552863786671,6.0
sylvester stallone,6.577297357379054,2.0
todd phillips,6.718544730896413,8.0
gary winick,6.304108150165338,5.0
mimi leder,6.4426351877066725,3.0
seth gordon,6.226786833517043,4.0
adam shankman,6.157006269357952,8.0
d.j. caruso,6.571231277961486,4.0
anthony minghella,6.780135187706672,3.0
albert hughes,6.6926351877066725,3.0
les mayfield,5.984108150165338,5.0
joe pytka,6.440180250275563,1.0
scott derrickson,6.504108150165338,5.0
ivan reitman,6.226237038588721,8.0
eric brevig,6.1058687859504825,2.0
kelly asbury,6.55684691694223,1.0
stephen hopkins,6.212825591059398,6.0
jonathan demme,6.784108150165338,5.0
henry jaglom,6.55684691694223,1.0
james algar,6.855135187706672,3.0
vincent ward,6.55684691694223,1.0
steven brill,6.115675722405931,4.0
terry gilliam,6.970090125137781,7.0
lucile hadzihalilovic,6.456846916942229,1.0
barry cook,6.25684691694223,1.0
roger christian,5.790180250275562,1.0
joe dante,6.370090125137781,7.0
kevin costner,6.730135187706672,3.0
antony hoffman,6.340180250275563,1.0
jacques perrin,6.877297357379054,2.0
andrés couturier,6.123513583608896,1.0
cody cameron,6.473513583608896,1.0
john singleton,6.345090125137783,7.0
oliver hirschbiegel,6.648725928807626,2.0
des mcanuff,6.0735135836088965,1.0
yarrow cheney,6.523513583608896,1.0
stephen norrington,6.463011643093339,2.0
pierre coffin,6.717635187706672,3.0
david kellogg,6.0735135836088965,1.0
mike nichols,6.5855528637866705,6.0
f. gary gray,6.7457915358323834,9.0
antoine fuqua,6.7570062693579525,8.0
robert luketic,6.212825591059398,6.0
gil kenan,6.491583071664769,2.0
barry levinson,6.546726750091854,13.0
jerry zucker,6.455135187706672,3.0
andy tennant,6.349189227423034,6.0
florent-emilio siri,6.4901802502755634,1.0
don bluth,6.667635187706672,3.0
ron shelton,6.215675722405931,4.0
david pastor,6.390180250275563,1.0
henry selick,6.391583071664768,2.0
kyle balda,6.456846916942229,1.0
clay kaytis,6.440180250275563,1.0
judd apatow,6.534108150165338,5.0
steve carr,5.971231277961486,4.0
mel gibson,6.955135187706672,3.0
david silverman,6.623513583608896,1.0
frank darabont,7.137897944628154,4.0
betty thomas,5.949009055739264,4.0
garry marshall,6.149313961665644,8.0
paul tibbitt,6.390180250275563,1.0
clark johnson,6.348725928807625,2.0
cameron crowe,6.6673710456048525,6.0
randall wallace,6.537897944628153,4.0
jonathan frakes,6.1934535001837085,4.0
george clooney,6.614108150165338,5.0
gary shore,6.440180250275563,1.0
andrzej bartkowiak,5.864108150165338,5.0
måns mårlind,6.456846916942229,1.0
gregory hoblit,6.517635187706672,3.0
gary mckendry,6.473513583608896,1.0
wych kaosayananda,5.9901802502755634,1.0
mikael salomon,6.356846916942229,1.0
bobby farrelly,6.242738766776892,10.0
kerry conran,6.4068469169422295,1.0
michael caton-jones,6.215675722405931,4.0
mikael håfström,6.493453500183708,4.0
phil alden robinson,6.456846916942229,1.0
david slade,6.367635187706672,3.0
joseph ruben,6.3235135836088965,1.0
seth macfarlane,6.480135187706672,3.0
alejandro amenábar,6.771231277961487,4.0
kinka usher,6.390180250275563,1.0
craig gillespie,6.660120166850375,4.0
rob bowman,6.282342389072598,4.0
doug lefler,6.290180250275562,1.0
scott waugh,6.473513583608896,1.0
